Model,Release date,Max resolution,Low resolution,Zoom wide (W),Zoom tele (T),Normal focus range,Weight (inc. batteries),Dimensions,Price
Agfa ePhoto 1280,1997,1024,640,38,114,70,420,95,179
Agfa ePhoto 1680,1998,1280,640,38,114,50,420,158,179
Agfa ePhoto CL18,2000,640,0,45,45,0,0,0,179
Agfa ePhoto CL30,1999,1152,640,35,35,0,0,0,269
Agfa ePhoto CL30 Clik!,1999,1152,640,43,43,50,300,128,1299
Agfa ePhoto CL45,2001,1600,640,51,51,50,270,119,179
Agfa ePhoto CL50,1999,1280,640,34,102,0,0,0,179
Canon PowerShot 350,1997,640,0,42,42,70,320,93,149
Canon PowerShot 600,1996,832,640,50,50,40,460,160,139
Canon PowerShot A10,2001,1280,1024,35,105,76,375,110,139
Canon PowerShot A100,2002,1280,1024,39,39,20,225,110,139
Canon PowerShot A20,2001,1600,1024,35,105,76,375,110,139
Canon PowerShot A200,2002,1600,1024,39,39,20,225,110,139
Canon PowerShot A30,2002,1280,1024,35,105,76,350,110,139
Canon PowerShot A300,2003,2048,1600,33,33,20,225,111,139
Canon PowerShot A310,2004,2048,1600,33,33,0,205,110,139
Canon PowerShot A40,2002,1600,1024,35,105,76,350,110,139
Canon PowerShot A400,2004,2048,1600,45,100,0,255,107,139
Canon PowerShot A410,2005,2048,1600,41,131,0,195,103,139
Canon PowerShot A420,2006,2272,1600,39,125,47,200,103,139
Canon PowerShot A430,2006,2272,1600,39,156,47,210,103,139
Canon PowerShot A450,2007,2592,2048,38,122,47,215,106,139
Canon PowerShot A460,2007,2592,2048,38,152,47,215,106,139
Canon PowerShot A5,1998,1024,512,35,35,50,240,105,149
Canon PowerShot A50,1999,1280,640,28,70,50,290,103,149
Canon PowerShot A510,2005,2048,1600,35,140,0,230,91,139
Canon PowerShot A520,2005,2272,1600,35,140,0,230,91,149
Canon PowerShot A530,2006,2592,2048,35,140,45,220,90,149
Canon PowerShot A540,2006,2816,2272,35,140,45,230,90,149
Canon PowerShot A550,2007,3072,2592,35,140,45,210,91,149
Canon PowerShot A560,2007,3072,2592,35,140,45,205,91,149
Canon PowerShot A570 IS,2007,3072,2592,35,140,45,215,90,149
Canon PowerShot A5 Zoom,1999,1024,512,28,70,50,290,103,149
Canon PowerShot A60,2003,1600,1024,35,105,46,315,101,139
Canon PowerShot A610,2005,2592,2592,35,140,0,285,105,139
Canon PowerShot A620,2005,3072,3072,35,140,0,285,105,139
Canon PowerShot A630,2006,3264,2592,35,140,0,315,109,139
Canon PowerShot A640,2006,3648,2816,35,140,0,315,109,139
Canon PowerShot A650 IS,2007,4000,3264,35,210,0,300,97,399
Canon PowerShot A70,2003,2048,1600,35,105,46,315,101,139
Canon PowerShot A700,2006,2816,2272,35,210,55,250,94,139
Canon PowerShot A710 IS,2006,3072,2592,35,210,55,210,98,139
Canon PowerShot A720 IS,2007,3264,2592,35,210,55,250,97,399
Canon PowerShot A75,2004,2048,1600,35,105,46,315,101,139
Canon PowerShot A80,2003,2272,1600,38,114,46,350,103,139
Canon PowerShot A85,2004,2272,1600,35,105,0,300,101,139
Canon PowerShot A95,2004,2592,2048,38,114,45,335,101,139
Canon EOS 10D,2003,3072,2048,0,0,0,875,150,1299
Canon EOS-1D,2001,2464,1232,0,0,0,1585,156,4499
Canon EOS-1D Mark II,2004,3504,3104,0,0,0,1565,156,4499
Canon EOS-1D Mark III,2007,3888,3456,0,0,0,1335,156,4499
Canon EOS-1D Mark II N,2005,3504,3104,0,0,0,1565,156,4499
Canon EOS-1Ds,2002,4064,2032,0,0,0,1585,156,7999
Canon EOS-1Ds Mark II,2004,4992,3600,0,0,0,1565,156,7999
Canon EOS-1Ds Mark III,2007,5616,4992,0,0,0,1385,150,7999
Canon EOS 20D,2004,3504,2544,0,0,0,770,144,1299
Canon EOS 20Da,2005,3504,2544,0,0,0,770,144,1299
Canon EOS 300D / Digital Rebel,2003,3072,2048,0,0,0,645,142,1299
Canon EOS 30D,2006,3504,2544,0,0,0,784,144,1299
Canon EOS 350D / Digital Rebel XT,2005,3456,2496,0,0,0,540,127,1299
Canon EOS 400D / Digital Rebel XTi,2006,3888,2816,0,0,0,556,127,1299
Canon EOS 40D,2007,3888,2816,0,0,0,822,146,1299
Canon EOS 5D,2005,4368,3168,0,0,0,895,152,2499
Canon EOS D30,2000,2160,1440,0,0,0,855,150,549
Canon EOS D60,2002,3072,2048,0,0,0,855,150,549
Canon PowerShot G1,2000,2048,1024,34,102,70,490,120,499
Canon PowerShot G2,2001,2272,1600,34,102,70,510,121,499
Canon PowerShot G3,2002,2272,1600,35,140,50,490,121,499
Canon PowerShot G5,2003,2592,1600,35,140,50,490,121,149
Canon PowerShot G6,2004,3072,2592,35,140,50,467,105,499
Canon PowerShot G7,2006,3648,2816,35,210,50,380,106,499
Canon PowerShot G9,2007,4000,3264,35,210,50,370,106,499
Canon PowerShot Pro1,2004,3264,2272,28,200,50,640,118,139
Canon PowerShot Pro70,1998,1536,768,28,70,32,800,148,199
Canon PowerShot Pro90 IS,2001,1856,1024,37,370,10,680,127,384
Canon PowerShot S10,1999,1600,1280,35,70,46,320,106,399
Canon PowerShot S100,2000,1600,640,35,70,57,250,87,199
Canon PowerShot S110,2001,1600,1024,35,70,57,250,87,199
Canon PowerShot S1 IS,2004,2048,1600,38,380,10,469,111,399
Canon PowerShot S20,2000,2048,1024,32,64,66,320,106,399
Canon PowerShot S200,2002,1600,1024,35,70,57,250,87,199
Canon PowerShot S230,2002,2048,1600,35,70,47,250,87,199
Canon PowerShot S2 IS,2005,2592,2048,36,432,50,505,113,399
Canon PowerShot S30,2001,2048,1600,35,105,80,323,112,399
Canon PowerShot S300,2001,1600,1024,35,105,76,270,95,199
Canon PowerShot S330,2002,1600,1024,35,105,76,274,95,199
Canon PowerShot S3 IS,2006,2816,2272,36,432,50,510,113,399
Canon PowerShot S40,2001,2272,1600,35,105,80,323,112,139
Canon PowerShot S400,2003,2272,1600,36,108,46,230,87,139
Canon PowerShot S410,2004,2272,1600,36,108,0,215,87,139
Canon PowerShot S45,2002,2272,1600,35,105,50,323,112,139
Canon PowerShot S50,2003,2592,1600,35,105,50,323,112,399
Canon PowerShot S500,2004,2592,2048,36,108,0,215,87,149
Canon PowerShot S5 IS,2007,3264,2272,36,432,50,550,117,399
Canon PowerShot S60,2004,2592,1600,28,100,50,300,114,399
Canon PowerShot S70,2004,3072,2592,28,100,50,300,114,399
Canon PowerShot S80,2005,3264,2592,28,100,50,290,104,399
Canon PowerShot SD10,2003,2272,1600,38,38,0,140,90,199
Canon PowerShot SD100,2003,2048,1600,35,70,47,185,85,199
Canon PowerShot SD1000,2007,3072,2592,35,105,0,175,86,199
Canon PowerShot SD110,2004,2048,1600,35,70,0,195,85,199
Canon PowerShot SD20,2004,2592,2048,39,39,0,140,90,199
Canon PowerShot SD200,2004,2048,1600,35,105,0,135,86,199
Canon PowerShot SD30,2005,2592,2048,38,90,0,120,96,199
Canon PowerShot SD300,2004,2272,1600,35,105,0,147,86,199
Canon PowerShot SD40,2006,3072,2592,38,90,0,120,96,199
Canon PowerShot SD400,2005,2592,2048,35,105,0,150,86,199
Canon PowerShot SD430 Wireless,2005,2592,2048,35,105,0,185,99,199
Canon PowerShot SD450,2005,2592,2048,35,105,0,155,86,199
Canon PowerShot SD500,2005,3072,2592,37,111,0,200,90,199
Canon PowerShot SD550,2005,3072,2592,37,111,0,185,90,199
Canon PowerShot SD600,2006,2816,2272,35,105,30,170,86,199
Canon PowerShot SD630,2006,2816,2272,35,105,30,175,90,199
Canon PowerShot SD700 IS,2006,2816,2272,35,140,45,195,90,384
Canon PowerShot SD750,2007,3072,2592,35,105,0,170,92,384
Canon PowerShot SD800 IS,2006,3072,2592,28,105,0,195,90,384
Canon PowerShot SD850 IS,2007,3264,2272,35,140,45,195,90,384
Canon PowerShot SD870 IS,2007,3264,2592,28,105,45,165,93,384
Canon PowerShot SD900,2006,3648,2816,37,111,0,205,91,199
Canon PowerShot SD950 IS,2007,4000,3264,36,133,50,205,96,384
Canon PowerShot SX100 IS,2007,3264,2592,36,360,50,316,109,299
Canon PowerShot TX1,2007,3072,2592,39,390,50,260,89,139
Casio Exilim EX-P505,2005,2560,2048,38,190,40,275,99,249
Casio Exilim EX-P600,2004,2816,2048,33,132,40,275,98,249
Casio Exilim EX-P700,2004,3072,2304,33,132,40,275,98,249
Casio Exilim EX-S100,2004,2048,1600,36,102,40,123,88,249
Casio Exilim EX-S20,2003,1600,1280,35,35,80,100,83,249
Casio Exilim EX-S3,2003,2048,1600,35,35,80,110,90,249
Casio Exilim EX-S500,2005,2560,2304,38,114,40,125,90,249
Casio Exilim EX-S600,2005,2816,2304,38,114,40,155,90,249
Casio Exilim EX-S600d,2006,2816,2304,38,114,40,155,90,249
Casio Exilim EX-S880,2007,3264,2816,38,114,50,138,94.5,249
Casio Exilim EX-V7,2007,3072,2560,38,266,30,190,96,299
Casio Exilim EX-V8,2007,3264,2816,38,266,40,199,96,299
Casio Exilim EX-Z10,2005,2560,2304,35,114,40,154,90,329
Casio Exilim EX-Z1000,2006,3648,2560,38,114,40,185,92,329
Casio Exilim EX-Z1050,2007,3648,2560,38,114,40,165,91,329
Casio Exilim EX-Z1080,2007,3648,2560,38,114,40,165,91,329
Casio Exilim EX-Z110,2005,2816,2304,35,114,40,151,90,329
Casio Exilim EX-Z120,2005,3072,2560,38,114,50,154,90,329
Casio Exilim EX-Z1200 SR,2007,4000,3264,37,111,40,162,93,329
Casio Exilim EX-Z3,2003,2048,1600,35,105,40,170,87,329
Casio Exilim EX-Z30,2004,2048,1600,35,105,40,150,87,329
Casio Exilim EX-Z4,2003,2304,1600,35,105,40,170,87,329
Casio Exilim EX-Z40,2004,2304,1600,35,105,40,150,87,329
Casio Exilim EX-Z5,2006,2560,2304,38,114,40,160,95,329
Casio Exilim EX-Z50,2004,2560,2048,35,105,50,171,87,329
Casio Exilim EX-Z500,2005,2560,2304,38,114,40,127,89,329
Casio Exilim EX-Z55,2004,2560,2048,35,105,50,180,87,329
Casio Exilim EX-Z57,2005,2560,2048,35,105,40,175,89,199
Casio Exilim EX-Z60,2006,2816,2304,38,114,40,148,95,329
Casio Exilim EX-Z70,2006,3072,2560,38,114,40,140,95,199
Casio Exilim EX-Z700,2006,3072,2560,38,114,40,154,89,329
Casio Exilim EX-Z75,2007,3072,2560,38,114,40,156,95,199
Casio Exilim EX-Z750,2005,3072,2304,38,114,40,165,89,329
Casio Exilim EX-Z77,2007,3072,2560,38,114,40,128,95,199
Casio Exilim EX-S770,2006,3072,2560,38,114,40,176,95,249
Casio Exilim EX-Z850,2006,3264,2816,38,114,40,185,89,249
Casio GV-10,2001,1280,640,35,35,60,320,101,249
Casio GV-20,2002,1600,800,35,35,60,320,101,249
Casio QV-2000UX,1999,1600,800,36,108,50,320,130,249
Casio QV-2100,2001,1600,800,41,41,80,260,108,249
Casio QV-2300UX,2000,1600,800,41,123,10,245,67,249
Casio QV-2400UX,2001,1600,800,41,123,10,245,67,249
Casio QV-2800UX,2000,1600,800,40,320,40,295,81,249
Casio QV-2900UX,2001,1600,800,40,320,40,295,81,249
Casio QV-3EX,2000,2048,1024,41,41,50,245,115,249
Casio QV-300,1996,640,320,47,106,60,290,162,249
Casio QV-3000EX,2000,2048,1024,33,100,30,360,134,249
Casio QV-3500EX,2001,2048,1024,33,100,30,360,134,249
Casio QV-4000,2001,2240,1600,34,102,30,420,118,249
Casio QV-5000SX,1998,1280,640,35,35,30,320,147,249
Casio QV-5500SX,1999,1280,640,36,36,30,320,131,249
Casio QV-5700,2002,2560,1600,34,102,30,420,118,249
Casio QV-700,1997,640,0,38,38,70,290,147,249
Casio QV-7000SX,1998,1280,640,32,64,23,320,141,249
Casio QV-770,1998,640,0,38,38,70,300,129,249
Casio QV-8000SX,1999,1280,640,40,320,40,320,141,249
Casio QV-R3,2002,2048,1600,38,113,40,240,90,249
Casio QV-R4,2002,2304,2240,38,113,40,240,90,249
Casio QV-R40,2003,2304,2240,39,117,60,210,88,249
Casio QV-R41,2004,2304,2240,39,117,60,198,88,249
Casio QV-R51,2004,2560,2048,39,117,60,210,88,249
Casio QV-R61,2004,2816,2048,39,117,70,218,88,249
Casio QV-R62,2004,2816,2048,39,117,70,218,88,249
Contax N Digital,2000,3040,0,0,0,0,0,152,549
Contax TVS Digital,2002,2560,1600,35,105,60,260,112,549
Epson PhotoPC 800,1999,1600,640,38,38,50,280,113,229
Epson PhotoPC 850 Zoom,1999,1600,640,35,105,0,0,0,229
Epson PhotoPC L-500V,2004,2560,1600,34,102,50,200,92,159
Epson PhotoPC 3000 Zoom,2000,2048,640,34,102,50,360,107,399
Epson PhotoPC 3100 Zoom,2001,2048,1600,34,102,50,360,107,399
Epson PhotoPC 500,1997,640,320,43,43,60,320,142,229
Epson PhotoPC 550,1997,640,320,43,43,60,170,107,229
Epson PhotoPC 600,1997,1024,640,36,36,50,270,143,229
Epson PhotoPC 650,1999,1152,640,39,39,60,400,135,229
Epson PhotoPC 700,1998,1280,640,35,35,50,0,0,229
Epson PhotoPC 750 Zoom,1998,1280,640,34,102,80,0,0,229
Epson PhotoPC L-300,2003,2048,1600,34,102,50,285,105,399
Epson PhotoPC L-400,2003,2304,1600,34,102,50,285,105,129
Epson PhotoPC L-410,2004,2304,1600,34,102,50,203,92,129
Epson R-D1,2004,3008,2240,0,0,0,620,142,4499
Fujifilm FinePix 40i,2000,2400,1280,36,36,50,200,85.5,169
Fujifilm FinePix 50i,2001,2400,1600,36,36,50,200,85.5,169
Fujifilm DS-260HD,1999,1280,640,35,105,90,700,100,169
Fujifilm DS-300,1997,1280,640,35,105,20,700,153,169
Fujifilm FinePix 1300,2000,1280,640,38,38,80,240,110,169
Fujifilm FinePix 2300,2001,1600,1280,36,36,80,240,110,169
Fujifilm FinePix 2400 Zoom,2000,1600,1280,38,114,80,290,125,169
Fujifilm FinePix 2600 Zoom,2001,1600,1280,38,114,80,260,99,169
Fujifilm FinePix 2650,2002,1600,1280,38,114,80,235,100,169
Fujifilm FinePix 2800 Zoom,2001,1600,1280,38,228,80,360,95,169
Fujifilm Finepix 30i,2001,1600,1280,38,38,60,200,85,199
Fujifilm FinePix 3800,2002,2048,1600,38,228,80,400,100,399
Fujifilm FinePix 4800 Zoom,2001,2400,1600,36,108,60,280,80,169
Fujifilm FinePix 4900 Zoom,2000,2400,1600,35,210,50,450,110,169
Fujifilm FinePix 6800 Zoom,2001,2832,2048,36,108,60,280,80,169
Fujifilm FinePix 6900 Zoom,2001,2832,2048,35,210,50,450,110,169
Fujifilm FinePix A101,2001,1280,640,36,36,80,190,99,169
Fujifilm FinePix A120,2004,2016,1600,38,38,80,170,102,169
Fujifilm FinePix A200,2002,1600,1280,36,36,80,180,99,169
Fujifilm FinePix A201,2001,1600,1280,36,36,80,190,99,169
Fujifilm FinePix A203,2002,1600,1280,38,114,60,180,97,169
Fujifilm FinePix A205 Zoom,2003,1600,1280,36,108,80,225,99,169
Fujifilm FinePix A210 Zoom,2003,2048,1600,36,108,80,225,99,169
Fujifilm FinePix A303,2002,2048,1600,38,114,60,180,97,169
Fujifilm FinePix A310 Zoom,2003,2816,2048,38,114,60,190,97,169
Fujifilm FinePix A330,2004,2016,1600,38,114,60,160,104,169
Fujifilm FinePix A340,2004,2272,1600,38,114,60,160,104,169
Fujifilm FinePix A345 Zoom,2005,2304,2048,35,105,60,192,90,169
Fujifilm FinePix A350 Zoom,2005,2592,2048,35,105,60,192,90,169
Fujifilm FinePix A400 Zoom,2006,2303,1600,38,114,60,170,93,169
Fujifilm FinePix A500 Zoom,2006,2592,2048,38,114,60,170,93,169
Fujifilm FinePix A600 Zoom,2006,2848,2048,36,108,50,195,93,169
Fujifilm FinePix A610,2007,2848,2048,39,117,60,195,98,169
Fujifilm FinePix A800,2007,3296,2304,36,108,50,200,98,169
Fujifilm FinePix A820,2007,3296,2304,39,156,60,205,98,169
Fujifilm FinePix A900,2007,3488,2048,39,156,60,205,98,169
Fujifilm FinePix A920,2007,3488,2592,39,156,60,206,98,169
Fujifilm FinePix E500 Zoom,2004,2304,1600,28,91,60,226,101,169
Fujifilm FinePix E510 Zoom,2004,2592,2048,28,91,60,226,101,169
Fujifilm FinePix E550 Zoom,2004,4048,2048,32,130,60,260,105,169
Fujifilm FinePix E900 Zoom,2005,3488,2592,32,128,60,260,102,169
Fujifilm FinePix F10 Zoom,2005,2848,2048,36,108,60,190,92,179
Fujifilm FinePix F11 Zoom,2005,2848,2048,36,108,60,190,92,199
Fujifilm FinePix F20 Zoom,2006,2848,2048,36,108,60,190,94,169
Fujifilm FinePix F30 Zoom,2006,2848,2048,36,108,60,185,93,169
Fujifilm FinePix F31 fd,2006,2848,2048,36,108,60,185,93,199
Fujifilm FinePix F401 Zoom,2002,2304,1600,38,114,60,200,85,169
Fujifilm FinePix F402,2002,2304,1600,39,39,50,145,77,199
Fujifilm FinePix F40 fd,2007,3296,2304,36,108,45,181,96,199
Fujifilm FinePix F410 Zoom,2003,2816,2048,38,114,60,205,85,169
Fujifilm FinePix F420 Zoom,2003,2816,2048,36,108,60,180,77,169
Fujifilm FinePix F440 Zoom,2004,2304,1600,38,130,60,180,75,169
Fujifilm FinePix F450 Zoom,2004,2592,2048,38,130,60,180,75,199
Fujifilm FinePix F455 Zoom,2004,2592,2048,38,130,60,180,93,199
Fujifilm FinePix F470 Zoom,2006,2816,2048,35,105,70,150,92,169
Fujifilm FinePix F480 Zoom,2007,3264,2304,28,112,40,170,96,169
Fujifilm FinePix F50 fd,2007,4000,2848,35,105,45,205,93,199
Fujifilm FinePix F601Z,2002,2832,2048,36,108,60,280,72,169
Fujifilm FinePix F610,2003,4048,2848,35,105,60,205,72,169
Fujifilm FinePix F650 Zoom,2006,2816,2048,36,180,60,200,105,169
Fujifilm FinePix F700,2003,2832,2048,35,105,60,205,108,169
Fujifilm FinePix F710,2004,2832,2048,32,130,60,225,110,169
Fujifilm FinePix F810 Zoom,2004,4048,2848,32,130,60,250,110,169
Fujifilm FinePix IS-1,2007,3488,2592,28,300,0,750,128,169
Fujifilm FinePix M603,2002,2832,2048,38,76,60,280,65,169
Fujifilm FinePix S20 Pro,2004,2832,2016,35,210,50,597,121,1699
Fujifilm FinePix S3000 Z,2003,2048,1600,38,228,80,400,100,229
Fujifilm FinePix S3500 Zoom,2004,2272,1600,39,234,80,385,100,229
Fujifilm FinePix S5000 Z,2003,2816,2048,37,370,90,430,113,229
Fujifilm FinePix S5100 Zoom,2004,2272,1600,37,370,90,387,113,229
Fujifilm FinePix S5200 Zoom,2005,2592,2048,38,380,90,470,114,229
Fujifilm FinePix S5700 Zoom,2007,3072,2304,38,380,30,406,106,229
Fujifilm FinePix S6000 fd,2006,2848,2048,28,300,40,700,131,399
Fujifilm FinePix S602Z,2002,2832,2048,35,210,50,590,121,399
Fujifilm FinePix S602Z Pro,2002,2832,2048,35,210,50,590,121,1699
Fujifilm FinePix S7000 Z,2003,4048,2848,35,210,50,590,121,229
Fujifilm FinePix S8000 fd,2007,3264,2304,27,486,70,510,111,399
Fujifilm FinePix S9000 Z,2005,3488,2592,28,300,50,745,128,229
Fujifilm FinePix S9100,2006,3488,2592,28,300,0,750,128,229
Fujifilm FinePix V10 Zoom,2006,2592,2048,36,130,60,185,83,179
Fujifilm FinePix Z1,2005,2592,2048,36,108,60,170,90,179
Fujifilm FinePix Z10  fd,2007,3072,2304,38,114,60,160,91,399
Fujifilm FinePix Z2,2005,2592,2048,36,108,60,170,90,179
Fujifilm FinePix Z3,2006,2592,2048,36,108,60,170,89,179
Fujifilm FinePix IS Pro,2007,4256,3024,0,0,0,920,147,1699
Fujifilm MX-1200,1999,1280,640,38,38,70,240,110,169
Fujifilm MX-1400,2000,1280,640,38,114,80,390,74,169
Fujifilm MX-1500,1999,1280,640,38,38,50,250,104,169
Fujifilm MX-1700,1999,1280,640,38,114,80,270,79,169
Fujifilm MX-2700,1999,1800,1280,35,35,50,260,80,169
Fujifilm MX-2900 Zoom,1999,1800,1280,35,105,90,385,130,179
Fujifilm FinePix 4700 Zoom,2000,2400,1280,36,108,80,280,78,169
Fujifilm MX-500,1998,1280,640,35,35,50,220,123,169
Fujifilm MX-600 Zoom,1999,1280,640,38,115,90,0,122,179
Fujifilm MX-700,1998,1280,640,35,35,50,260,80,169
Fujifilm FinePix S1 Pro,2000,3040,2340,0,0,0,820,148,1699
Fujifilm FinePix S2 Pro,2002,4256,3024,0,0,0,850,142,1699
Fujifilm FinePix S3 Pro,2004,4256,3024,0,0,0,930,148,1699
Fujifilm FinePix S5 Pro,2006,4256,3024,0,0,0,920,147,1699
HP Photosmart 320,2002,1632,640,38,38,75,240,113,179
HP Photosmart 435,2003,2048,640,36,36,85,190,117,179
HP Photosmart 620,2002,1632,640,36,102,20,280,120,179
HP Photosmart 635,2003,1636,640,38,114,80,240,240,179
HP Photosmart 715,2001,2048,640,34,102,60,320,127,179
HP Photosmart 720,2002,2048,640,34,102,20,340,118,179
HP Photosmart 735,2003,2080,0,38,114,0,290,105,179
HP Photosmart 812,2002,2272,1136,37,111,50,245,95,179
HP Photosmart 850,2002,2272,1136,37,300,50,489,114,179
HP Photosmart 935,2003,2608,1296,37,111,50,260,97,179
HP Photosmart 945,2003,2608,1296,37,300,50,500,123,179
HP Photosmart C20,1998,1152,576,39,39,60,300,127,179
HP Photosmart C200,1999,1152,640,35,35,60,300,126,179
HP Photosmart C215,2000,1280,640,43,43,60,290,124,179
HP Photosmart C30,1998,1152,576,35,35,60,300,126,179
HP Photosmart C315,2000,1600,640,38,38,30,280,128,179
HP Photosmart C500,1999,1600,640,38,115,0,410,153,179
HP Photosmart C618,2000,1600,800,34,108,50,630,144,179
HP Photosmart C912,2000,1600,800,34,108,50,150,99,179
HP Photosmart E317,2005,2560,2048,35,35,60,231,95,179
HP Photosmart E327,2006,2560,2048,35,35,60,170,96,179
HP Photosmart E337,2007,2576,0,36,36,100,170,96,179
HP Photosmart M22,2005,2320,1600,36,36,0,172,109,179
HP Photosmart M23,2005,2320,1600,36,36,0,172,109,179
HP Photosmart M307,2004,2080,1280,40,111,80,177,107,179
